objectid,title,classification,dated,artist,medium,department,image_path,image_url,embedding_idx
46119,Cardinal Francesco Cennini,painting,,,oil on canvas,,./images/46119.jpg,"https://api.nga.gov/iiif/6f4d6afd-4968-4508-b730-f90c89e9d53c/full/!512,512/0/default.jpg",0
52260,Roses in a Vase,painting,,,oil on wood,,./images/52260.jpg,"https://api.nga.gov/iiif/5f1d5f48-8378-47b8-bea6-af40486aac4f/full/!512,512/0/default.jpg",1
52444,Family Group,painting,,,oil on canvas,,./images/52444.jpg,"https://api.nga.gov/iiif/82934d52-e0c1-4a48-b0fd-d96402b3921c/full/!512,512/0/default.jpg",2
42925,The Fire Boss,painting,,,oil on canvas,,./images/42925.jpg,"https://api.nga.gov/iiif/2bab2cfc-3cb6-45e5-a030-1779aedb5981/full/!512,512/0/default.jpg",3
53529,Saint Wolfgang,painting,,,oil on panel,,./images/53529.jpg,"https://api.nga.gov/iiif/8fbd2f18-6086-43b3-8076-ae850dd13393/full/!512,512/0/default.jpg",4
140728,"View of Bregentved Forest, Sjaeeland",painting,,,oil on canvas,,./images/140728.jpg,"https://api.nga.gov/iiif/62b4f26d-a628-4f4e-b4fe-56123fc61999/full/!512,512/0/default.jpg",5
46140,Bishop Alvise Grimani,painting,,,oil on canvas,,./images/46140.jpg,"https://api.nga.gov/iiif/fb07738a-9b03-4bd1-8f3a-04d291e8d062/full/!512,512/0/default.jpg",6
59888,The Independent Voter,painting,,,oil on canvas,,./images/59888.jpg,"https://api.nga.gov/iiif/d25dd005-1a0a-470e-a0ab-25fe90f83400/full/!512,512/0/default.jpg",7
70329,John Eldred,painting,,,oil on canvas,,./images/70329.jpg,"https://api.nga.gov/iiif/47d40a01-f055-4c30-b2a1-77b337422642/full/!512,512/0/default.jpg",8
39768,Sharp-Tailed Finch,painting,,,pencil and oil on millboard,,./images/39768.jpg,"https://api.nga.gov/iiif/22b18453-476c-4ee8-9ccf-fcf89b51fdcb/full/!512,512/0/default.jpg",9
46659,Madame Cahen,painting,,,oil on canvas,,./images/46659.jpg,"https://api.nga.gov/iiif/44d08af4-4807-40c0-9daf-f9dcbbe10486/full/!512,512/0/default.jpg",10
